interval_start,trade_id,market_id,side,entry_odds,fair_probability,edge,btc_price_entry,btc_price_close,bet_size,balance_before,balance_after,outcome,payout,profit_loss,resolved_outcome,mode
2025-12-12T07:15:00+00:00,BT-00080,SYN-202512120715,DOWN,0.4844,0.5200,0.0452,92507.35,92377.80,10.00,416.41,426.84,WIN,20.44,10.44,DOWN,BACKTEST
2025-12-12T13:15:00+00:00,BT-00081,SYN-202512121315,UP,0.4844,0.5200,0.0452,92369.12,92280.33,10.00,426.84,416.84,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-12T14:30:00+00:00,BT-00082,SYN-202512121430,UP,0.5054,0.5500,0.0544,92126.94,92450.23,10.00,416.84,426.43,WIN,19.59,9.59,UP,BACKTEST
2025-12-12T15:15:00+00:00,BT-00083,SYN-202512121515,DOWN,0.4958,0.5500,0.0656,91982.53,90842.70,10.00,426.43,436.40,WIN,19.97,9.97,DOWN,BACKTEST
2025-12-12T16:00:00+00:00,BT-00084,SYN-202512121600,DOWN,0.5069,0.5500,0.0527,89935.13,89972.70,10.00,436.40,426.40,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-12T16:30:00+00:00,BT-00085,SYN-202512121630,DOWN,0.4756,0.5500,0.0894,90409.16,89652.01,10.00,426.40,437.22,WIN,20.82,10.82,DOWN,BACKTEST
2025-12-12T18:15:00+00:00,BT-00086,SYN-202512121815,UP,0.5210,0.5500,0.0386,90310.00,90540.86,10.00,437.22,446.22,WIN,19.00,9.00,UP,BACKTEST
2025-12-12T18:45:00+00:00,BT-00087,SYN-202512121845,UP,0.4806,0.5200,0.0490,90438.09,90372.00,10.00,446.22,436.22,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-12T20:15:00+00:00,BT-00088,SYN-202512122015,UP,0.5105,0.5500,0.0491,90039.01,90020.49,10.00,436.22,426.22,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-13T21:30:00+00:00,BT-00089,SYN-202512132130,DOWN,0.4738,0.5200,0.0562,89962.33,90051.02,10.00,426.22,416.22,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-14T00:00:00+00:00,BT-00090,SYN-202512140000,DOWN,0.4831,0.5200,0.0465,90240.00,90268.18,10.00,416.22,406.22,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-14T12:00:00+00:00,BT-00091,SYN-202512141200,DOWN,0.4929,0.5500,0.0691,89360.01,89322.76,10.00,406.22,416.30,WIN,20.09,10.09,DOWN,BACKTEST
2025-12-14T16:30:00+00:00,BT-00092,SYN-202512141630,DOWN,0.4882,0.5500,0.0746,89261.12,88815.67,10.00,416.30,426.58,WIN,20.28,10.28,DOWN,BACKTEST
2025-12-14T17:00:00+00:00,BT-00093,SYN-202512141700,UP,0.4845,0.5200,0.0451,88836.99,88685.36,10.00,426.58,416.58,LOSS,0.00,-10.00,DOWN,BACKTEST
2025-12-14T19:15:00+00:00,BT-00094,SYN-202512141915,DOWN,0.4966,0.5500,0.0648,88748.98,88711.11,10.00,416.58,426.52,WIN,19.94,9.94,DOWN,BACKTEST
2025-12-14T22:15:00+00:00,BT-00095,SYN-202512142215,DOWN,0.4677,0.5200,0.0634,88506.93,88382.68,10.00,426.52,437.69,WIN,21.17,11.17,DOWN,BACKTEST
2025-12-14T23:30:00+00:00,BT-00096,SYN-202512142330,DOWN,0.4859,0.5500,0.0773,88026.44,88038.44,10.00,437.69,427.69,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-15T01:30:00+00:00,BT-00097,SYN-202512150130,UP,0.5014,0.5500,0.0591,88706.33,89078.19,10.00,427.69,437.43,WIN,19.75,9.75,UP,BACKTEST
2025-12-15T02:15:00+00:00,BT-00098,SYN-202512150215,UP,0.5244,0.5500,0.0352,89529.81,89688.70,10.00,437.43,446.31,WIN,18.88,8.88,UP,BACKTEST
2025-12-15T02:45:00+00:00,BT-00099,SYN-202512150245,DOWN,0.4930,0.5500,0.0689,89451.07,89321.85,10.00,446.31,456.39,WIN,20.08,10.08,DOWN,BACKTEST
2025-12-15T08:00:00+00:00,BT-00100,SYN-202512150800,DOWN,0.4738,0.5200,0.0562,89753.43,89707.98,10.00,456.39,467.29,WIN,20.89,10.89,DOWN,BACKTEST
2025-12-15T09:00:00+00:00,BT-00101,SYN-202512150900,UP,0.4822,0.5200,0.0474,89770.00,89848.57,10.00,467.29,477.81,WIN,20.53,10.53,UP,BACKTEST
2025-12-15T14:30:00+00:00,BT-00102,SYN-202512151430,DOWN,0.4927,0.5500,0.0693,89390.18,89261.77,10.00,477.81,487.91,WIN,20.09,10.09,DOWN,BACKTEST
2025-12-15T15:00:00+00:00,BT-00103,SYN-202512151500,DOWN,0.5179,0.5500,0.0417,88050.00,87476.92,10.00,487.91,497.02,WIN,19.12,9.12,DOWN,BACKTEST
2025-12-15T15:45:00+00:00,BT-00104,SYN-202512151545,DOWN,0.4917,0.5200,0.0379,87203.55,87033.22,10.00,497.02,507.16,WIN,20.14,10.14,DOWN,BACKTEST
2025-12-15T16:30:00+00:00,BT-00105,SYN-202512151630,DOWN,0.4980,0.5500,0.0630,86910.81,86330.04,10.00,507.16,517.04,WIN,19.88,9.88,DOWN,BACKTEST
2025-12-15T17:30:00+00:00,BT-00106,SYN-202512151730,DOWN,0.4826,0.5500,0.0812,86194.42,85842.29,10.00,517.04,527.55,WIN,20.51,10.51,DOWN,BACKTEST
2025-12-15T18:15:00+00:00,BT-00107,SYN-202512151815,DOWN,0.4815,0.5200,0.0481,85889.15,85586.01,10.00,527.55,538.11,WIN,20.56,10.56,DOWN,BACKTEST
2025-12-15T19:45:00+00:00,BT-00108,SYN-202512151945,DOWN,0.4685,0.5200,0.0625,86201.99,86149.96,10.00,538.11,549.25,WIN,21.13,11.13,DOWN,BACKTEST
2025-12-15T20:30:00+00:00,BT-00109,SYN-202512152030,UP,0.4878,0.5500,0.0751,85746.51,85932.57,10.00,549.25,559.54,WIN,20.30,10.30,UP,BACKTEST
2025-12-15T22:00:00+00:00,BT-00110,SYN-202512152200,DOWN,0.4959,0.5500,0.0655,86243.77,86045.29,10.00,559.54,569.51,WIN,19.96,9.96,DOWN,BACKTEST
2025-12-15T23:45:00+00:00,BT-00111,SYN-202512152345,DOWN,0.4751,0.5200,0.0547,86472.69,86432.08,10.00,569.51,580.35,WIN,20.84,10.84,DOWN,BACKTEST
2025-12-16T03:30:00+00:00,BT-00112,SYN-202512160330,DOWN,0.4914,0.5500,0.0708,85711.71,85786.65,10.00,580.35,570.35,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-16T06:00:00+00:00,BT-00113,SYN-202512160600,UP,0.4816,0.5200,0.0480,86028.12,86225.66,10.00,570.35,580.90,WIN,20.56,10.56,UP,BACKTEST
2025-12-16T09:30:00+00:00,BT-00114,SYN-202512160930,UP,0.4881,0.5200,0.0415,86277.75,86365.62,10.00,580.90,591.19,WIN,20.28,10.28,UP,BACKTEST
2025-12-16T11:45:00+00:00,BT-00115,SYN-202512161145,DOWN,0.4646,0.5200,0.0671,87107.89,87261.45,10.00,591.19,581.19,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-16T13:30:00+00:00,BT-00116,SYN-202512161330,DOWN,0.4797,0.5200,0.0499,87367.60,86933.99,10.00,581.19,591.82,WIN,20.64,10.64,DOWN,BACKTEST
2025-12-16T14:00:00+00:00,BT-00117,SYN-202512161400,DOWN,0.4808,0.5200,0.0488,86443.02,86861.18,10.00,591.82,581.82,LOSS,0.00,-10.00,UP,BACKTEST
2025-12-16T15:00:00+00:00,BT-00118,SYN-202512161500,DOWN,0.5226,0.5500,0.0370,87298.00,87233.97,10.00,581.82,590.77,WIN,18.94,8.94,DOWN,BACKTEST
2025-12-16T15:45:00+00:00,BT-00119,SYN-202512161545,UP,0.5110,0.5500,0.0486,87328.44,87977.43,10.00,590.77,600.14,WIN,19.37,9.37,UP,BACKTEST
2025-12-16T16:30:00+00:00,BT-00120,SYN-202512161630,DOWN,0.4794,0.5200,0.0502,87843.24,87530.54,10.00,600.14,610.79,WIN,20.65,10.65,DOWN,BACKTEST
2025-12-16T17:00:00+00:00,BT-00121,SYN-202512161700,UP,0.4971,0.5500,0.0641,87588.26,87766.45,10.00,610.79,620.71,WIN,19.92,9.92,UP,BACKTEST
2025-12-16T18:30:00+00:00,BT-00122,SYN-202512161830,UP,0.5136,0.5500,0.0460,87396.59,87906.41,10.00,620.71,629.99,WIN,19.28,9.28,UP,BACKTEST
2025-12-16T19:00:00+00:00,BT-00123,SYN-202512161900,DOWN,0.4881,0.5200,0.0415,87781.35,87333.12,10.00,629.99,640.27,WIN,20.28,10.28,DOWN,BACKTEST
2025-12-16T19:45:00+00:00,BT-00124,SYN-202512161945,UP,0.4821,0.5200,0.0475,87567.40,87585.77,10.00,640.27,650.80,WIN,20.53,10.53,UP,BACKTEST
2025-12-16T21:30:00+00:00,BT-00125,SYN-202512162130,UP,0.4894,0.5200,0.0402,87690.31,87876.56,10.00,650.80,661.03,WIN,20.23,10.23,UP,BACKTEST
2025-12-17T00:00:00+00:00,BT-00126,SYN-202512170000,DOWN,0.5082,0.5500,0.0514,87863.43,87540.57,10.00,661.03,670.51,WIN,19.48,9.48,DOWN,BACKTEST
2025-12-17T01:15:00+00:00,BT-00127,SYN-202512170115,UP,0.5186,0.5500,0.0410,87593.84,87760.47,10.00,670.51,679.60,WIN,19.09,9.09,UP,BACKTEST
2025-12-17T04:15:00+00:00,BT-00128,SYN-202512170415,DOWN,0.5072,0.5500,0.0524,87324.66,87048.39,10.00,679.60,689.12,WIN,19.52,9.52,DOWN,BACKTEST
2025-12-17T05:00:00+00:00,BT-00129,SYN-202512170500,DOWN,0.4880,0.5500,0.0748,86752.27,86621.82,10.00,689.12,699.41,WIN,20.29,10.29,DOWN,BACKTEST
2025-12-17T05:45:00+00:00,BT-00130,SYN-202512170545,UP,0.5241,0.5500,0.0355,86488.04,86626.39,10.00,699.41,708.30,WIN,18.89,8.89,UP,BACKTEST
2025-12-17T07:30:00+00:00,BT-00131,SYN-202512170730,UP,0.5234,0.5500,0.0362,86736.38,87018.96,10.00,708.30,717.21,WIN,18.92,8.92,UP,BACKTEST
